OBSTRC_FCTR_CN,ALL_TOTAL_CO,MALE_RATE,FEMALE_RATE,ALL_N10S_RATE,ALL_N20S_RATE,ALL_N30S_RATE,ALL_N40S_RATE,ALL_N50S_RATE,REPRT_YEAR_CN,EXAMIN_COUNTRY_NM,CNTNTS_URL
"소재, 스토리, 장르 등이 진부하고 획일적이어서","14","16.20000","11.30000","12.90000","13.70000","10.00000","16.50000","20.70000","2024","중국","TV 드라마"
"번역 자막더빙으로 보는 것이 불편해서","11","9.80000","11.30000","9.40000","11.50000","9.60000","11.20000","13.80000","2024","중국","TV 드라마"
"같은 배우들이 다른 작품에 반복적으로 출연해서","2","2.50000","2.30000","2.20000","2.70000","3.00000","1.10000","3.40000","2024","중국","TV 드라마"
"드라마를 보는데 비용이 많이 들어서","6","4.80000","7.00000","6.70000","7.10000","5.70000","5.30000","1.70000","2024","중국","TV 드라마"
"한국적 요소가 강해서","6","5.00000","5.90000","5.40000","6.20000","5.20000","5.30000","5.20000","2024","중국","TV 드라마"
"한국어가 어렵고 너무 생소해서","7","6.60000","6.40000","9.40000","7.50000","5.20000","4.30000","3.40000","2024","중국","TV 드라마"
"한 회당 방영 시간이 길어서","4","3.00000","4.30000","2.70000","2.70000","5.70000","4.30000","1.70000","2024","중국","TV 드라마"
"한국과 자국의 역사외교적 관계로 인해서","13","12.10000","13.10000","9.80000","11.10000","15.70000","14.40000","12.10000","2024","중국","TV 드라마"
"접하기 어려운 환경이어서","9","8.00000","9.20000","9.80000","8.00000","9.10000","8.00000","6.90000","2024","중국","TV 드라마"
"표현방식이 너무 강해서","7","8.70000","5.90000","5.80000","6.20000","9.60000","9.60000","0.00000","2024","중국","TV 드라마"
"문화 다양성에 대한 고려가 부족해서","6","7.30000","3.90000","7.10000","5.80000","5.70000","4.80000","0.00000","2024","중국","TV 드라마"
"한국 드라마 배우 및 관계자의 부적절한 언행","7","6.40000","7.40000","7.60000","9.30000","6.50000","3.20000","8.60000","2024","중국","TV 드라마"
"기타","0","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","2024","중국","TV 드라마"
"없음","11","9.60000","12.10000","11.20000","8.40000","9.10000","12.20000","22.40000","2024","중국","TV 드라마"
"방송용 자막이 너무 많아서","5","3.90000","5.30000","4.00000","5.40000","4.10000","3.90000","9.40000","2024","중국","예능"
"번역 자막더빙으로 보는 것이 불편해서","9","8.90000","8.60000","8.70000","7.40000","8.80000","10.20000","12.50000","2024","중국","예능"
"한국어가 어렵고 생소해서","9","12.30000","6.80000","12.70000","8.80000","7.80000","8.70000","9.40000","2024","중국","예능"
"짜임새 있는 포맷이 아니고 즉흥적이어서","4","4.50000","3.50000","4.60000","6.40000","3.20000","1.60000","0.00000","2024","중국","예능"
"나오는 사람들이 반복적으로 돌아가면서 출연해서","3","3.40000","2.80000","2.90000","2.00000","3.70000","4.70000","0.00000","2024","중국","예능"
"게스트들의 토크에 의존하는 포맷이 많아서","7","6.10000","7.80000","9.20000","3.90000","9.70000","4.70000","6.30000","2024","중국","예능"
"오래가는 콘텐츠가 적어서","6","6.10000","5.30000","5.20000","6.90000","5.10000","6.30000","3.10000","2024","중국","예능"
"매력 있는 스타가 출연하지 않아서","2","1.70000","2.30000","1.20000","1.00000","1.80000","3.90000","6.30000","2024","중국","예능"
"내용이 재미없어서","6","7.00000","5.30000","3.50000","7.40000","7.40000","7.10000","0.00000","2024","중국","예능"
"한국과 자국의 역사외교적 관계로 인해서","11","12.80000","9.40000","8.70000","12.30000","7.80000","13.40000","28.10000","2024","중국","예능"
"접하기 어려운 환경이어서","8","7.80000","8.40000","9.20000","8.80000","6.90000","7.90000","6.30000","2024","중국","예능"
"출연진 및 관계자의 부적절한 언행","11","9.80000","12.90000","8.70000","15.20000","12.00000","9.40000","6.30000","2024","중국","예능"
"문화 다양성에 대한 고려가 부족해서","6","4.70000","7.60000","9.80000","2.90000","6.50000","6.30000","6.30000","2024","중국","예능"
